,driverId,constructorId,grid,year_x,circuitId,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,statusId_1,statusId_2,statusId_3,positionOrder,Column1
239,154,210,9,2019,11,1,0,0,0,0,0.0,0.0,1.0,0,0.0
240,844,6,1,2019,13,0,0,0,0,1,1.0,0.0,0.0,1,0.1883854
241,1,131,3,2019,13,0,0,0,0,1,1.0,0.0,0.0,0,0.3354559
242,822,131,4,2019,13,0,0,0,0,1,1.0,0.0,0.0,0,4.9622452e-11
243,20,6,2,2019,13,0,0,0,0,1,1.0,0.0,0.0,0,0.14568475
244,848,9,17,2019,13,0,0,0,0,1,1.0,0.0,0.0,0,4.2018793e-22
245,815,211,7,2019,13,0,0,0,0,1,1.0,0.0,0.0,0,1.144418e-28
246,826,5,19,2019,13,0,0,0,0,1,1.0,0.0,0.0,0,3.381612e-24
247,807,4,12,2019,13,0,0,0,0,1,1.0,0.0,0.0,0,4.0319556e-10
248,842,5,13,2019,13,0,0,0,0,1,1.0,0.0,0.0,0,5.4615546e-14
249,840,211,16,2019,13,0,0,0,0,1,1.0,0.0,0.0,0,0.0
250,846,1,11,2019,13,0,0,0,0,1,0.0,0.0,1.0,0,0.0
251,825,210,8,2019,13,0,0,0,0,1,0.0,1.0,0.0,0,0.0
252,154,210,9,2019,13,0,0,0,0,1,0.0,1.0,0.0,0,0.0
253,817,4,10,2019,13,0,0,0,0,1,0.0,1.0,0.0,0,0.0
254,847,3,14,2019,13,0,0,0,0,1,0.0,1.0,0.0,0,0.0
255,8,51,6,2019,13,0,0,0,0,1,0.0,1.0,0.0,0,0.0
256,9,3,0,2019,13,0,0,0,0,1,0.0,1.0,0.0,0,0.0
257,841,51,18,2019,13,0,0,0,0,1,0.0,0.0,1.0,0,0.0
258,832,1,15,2019,13,0,0,0,0,1,0.0,0.0,1.0,0,0.0
259,830,9,5,2019,13,0,0,0,0,1,0.0,0.0,1.0,0,0.0
260,844,6,1,2019,14,0,0,0,0,1,1.0,0.0,0.0,1,0.19160116
261,822,131,3,2019,14,0,0,0,0,1,1.0,0.0,0.0,0,1.2066828e-09
262,1,131,2,2019,14,0,0,0,0,1,1.0,0.0,0.0,0,0.38643748
263,817,4,5,2019,14,0,0,0,0,1,1.0,0.0,0.0,0,0.12052104
264,807,4,6,2019,14,0,0,0,0,1,1.0,0.0,0.0,0,0.05528763
265,848,9,8,2019,14,0,0,0,0,1,1.0,0.0,0.0,0,0.00048154593
266,815,211,18,2019,14,0,0,0,0,1,1.0,0.0,0.0,0,0.0
267,830,9,19,2019,14,0,0,0,0,1,1.0,0.0,0.0,0,3.010067e-24
268,841,51,10,2019,14,0,0,0,0,1,0.0,1.0,0.0,0,0.0
269,846,1,16,2019,14,0,0,0,0,1,0.0,1.0,0.0,0,0.0
270,842,5,17,2019,14,0,0,0,0,1,0.0,1.0,0.0,0,0.0
271,840,211,9,2019,14,0,0,0,0,1,0.0,1.0,0.0,0,0.0
272,20,6,4,2019,14,0,0,0,0,1,0.0,1.0,0.0,0,0.0
273,847,3,14,2019,14,0,0,0,0,1,0.0,1.0,0.0,0,0.0
274,8,51,0,2019,14,0,0,0,0,1,0.0,1.0,0.0,0,0.0
275,154,210,13,2019,14,0,0,0,0,1,0.0,1.0,0.0,0,0.0
276,9,3,15,2019,14,0,0,0,0,1,0.0,1.0,0.0,0,0.0
