ending_position,raceId,curcuit_id,driverId,constructorId,starting_position,finish_status,train_test,resultId
6,844,5,18,1,6,1,1,20854
7,844,5,2,4,9,1,1,20855
8,844,5,808,4,7,1,1,20856
9,844,5,67,5,16,1,1,20857
10,844,5,155,15,24,1,1,20858
11,844,5,13,6,10,1,1,20859
12,844,5,30,131,8,1,1,20860
13,844,5,16,10,12,1,1,20861
14,844,5,815,15,15,1,1,20862
15,844,5,22,3,11,1,1,20863
16,844,5,153,5,17,1,1,20864
17,844,5,813,3,14,1,1,20865
18,844,5,15,205,19,1,1,20866
19,844,5,5,205,18,1,1,20867
20,844,5,816,166,23,1,1,20868
21,844,5,39,164,22,1,1,20869
22,844,5,24,164,20,1,1,20870
0,844,5,814,10,13,2,1,20871
0,844,5,10,166,21,2,1,20872
1,845,4,20,9,2,1,1,20873
2,845,4,1,1,3,1,1,20874
3,845,4,18,1,5,1,1,20875
4,845,4,17,9,1,1,1,20876
5,845,4,4,6,4,1,1,20877
6,845,4,30,131,10,1,1,20878
7,845,4,3,131,7,1,1,20879
8,845,4,2,4,24,1,1,20880
9,845,4,815,15,12,1,1,20881
10,845,4,155,15,14,1,1,20882
11,845,4,808,4,6,1,1,20883
12,845,4,814,10,16,1,1,20884
13,845,4,16,10,17,1,1,20885
14,845,4,67,5,11,1,1,20886
15,845,4,813,3,9,1,1,20887
16,845,4,153,5,13,1,1,20888
17,845,4,22,3,19,1,1,20889
18,845,4,15,205,18,1,1,20890
19,845,4,10,166,20,1,1,20891
20,845,4,816,166,23,1,1,20892
21,845,4,39,164,22,1,1,20893
0,845,4,13,6,8,2,1,20894
0,845,4,5,205,15,2,1,20895
0,845,4,24,164,21,2,1,20896
1,846,6,20,9,1,1,1,20897
2,846,6,4,6,4,1,1,20898
3,846,6,18,1,2,1,1,20899
4,846,6,17,9,3,1,1,20900
5,846,6,155,15,12,1,1,20901
6,846,6,1,1,9,1,1,20902
7,846,6,16,10,14,1,1,20903
8,846,6,2,4,15,1,1,20904
9,846,6,22,3,11,1,1,20905
10,846,6,67,5,16,1,1,20906
11,846,6,3,131,7,1,1,20907
12,846,6,814,10,13,1,1,20908
13,846,6,15,205,18,1,1,20909
14,846,6,5,205,17,1,1,20910
15,846,6,816,166,21,1,1,20911
16,846,6,24,164,23,1,1,20912
17,846,6,39,164,22,1,1,20913
0,846,6,813,3,8,2,1,20914
0,846,6,808,4,10,2,1,20915
0,846,6,153,5,19,2,1,20916
0,846,6,13,6,6,2,1,20917
0,846,6,30,131,5,2,1,20918
0,846,6,10,166,20,2,1,20919
1,847,7,18,1,7,1,1,20920
2,847,7,20,9,1,1,1,20921
3,847,7,17,9,4,1,1,20922
4,847,7,30,131,8,1,1,20923
5,847,7,808,4,10,1,1,20924
6,847,7,13,6,3,1,1,20925
7,847,7,155,15,13,1,1,20926
8,847,7,153,5,24,1,1,20927
9,847,7,22,3,16,1,1,20928
10,847,7,67,5,15,1,1,20929
11,847,7,3,131,6,1,1,20930
12,847,7,37,15,17,1,1,20931
13,847,7,24,164,20,1,1,20932
14,847,7,39,164,22,1,1,20933
15,847,7,816,166,23,1,1,20934
16,847,7,10,166,21,1,1,20935
17,847,7,15,205,18,1,1,20936
0,847,7,814,10,11,2,1,20937
0,847,7,813,3,12,2,1,20938
0,847,7,2,4,9,2,1,20939
0,847,7,16,10,14,2,1,20940
0,847,7,4,6,2,2,1,20941
0,847,7,5,205,19,2,1,20942
0,847,7,1,1,5,2,1,20943
1,848,12,20,9,1,1,1,20944
2,848,12,4,6,4,1,1,20945
3,848,12,17,9,2,1,1,20946
4,848,12,1,1,3,1,1,20947
5,848,12,13,6,5,1,1,20948
6,848,12,18,1,6,1,1,20949
7,848,12,3,131,7,1,1,20950
8,848,12,153,5,18,1,1,20951
9,848,12,16,10,10,1,1,20952
10,848,12,2,4,9,1,1,20953
11,848,12,815,15,16,1,1,20954
12,848,12,22,3,13,1,1,20955
13,848,12,67,5,17,1,1,20956
14,848,12,814,10,12,1,1,20957
15,848,12,808,4,11,1,1,20958
16,848,12,155,15,14,1,1,20959
