,round,resultId,raceId,circuitId,driverId,constructorId,position,proba_1,Pred_Position,Delta,Spread,pos_group,pred_pos_group
274,14,24480,1023,14,8,51,15,0.2,3,12,0,4,1
261,14,24467,1023,14,822,131,2,0,4,2,1,1,2
263,14,24469,1023,14,817,4,4,0,5,1,1,2,2
264,14,24470,1023,14,807,4,5,0,6,1,1,2,2
265,14,24471,1023,14,848,9,6,0,7,1,1,2,3
266,14,24472,1023,14,815,211,7,0,8,1,1,3,3
267,14,24473,1023,14,830,9,8,0,9,1,1,3,3
268,14,24474,1023,14,841,51,9,0,10,1,1,3,3
269,14,24475,1023,14,846,1,10,0,11,1,1,3,4
270,14,24476,1023,14,842,5,11,0,12,1,1,4,4
271,14,24477,1023,14,840,211,12,0,13,1,1,4,4
272,14,24478,1023,14,20,6,13,0,14,1,1,4,4
273,14,24479,1023,14,847,3,14,0,15,1,1,4,4
275,14,24481,1023,14,154,210,16,0,16,0,1,4,4
276,14,24482,1023,14,9,3,17,0,17,0,1,4,4
277,14,24483,1023,14,825,210,0,0,18,18,0,4,4
278,14,24484,1023,14,826,5,0,0,19,19,0,4,4
279,14,24485,1023,14,832,1,0,0,20,20,0,4,4
283,15,24489,1024,15,1,131,4,0.2,1,3,0,2,1
281,15,24487,1024,15,844,6,2,0.1,2,0,1,1,1
285,15,24491,1024,15,848,9,6,0.1,3,3,0,2,1
280,15,24486,1024,15,20,6,1,0,4,3,0,1,2
282,15,24488,1024,15,830,9,3,0,5,2,1,1,2
284,15,24490,1024,15,822,131,5,0,6,1,1,2,2
286,15,24492,1024,15,846,1,7,0,7,0,1,3,3
287,15,24493,1024,15,842,5,8,0,8,0,1,3,3
288,15,24494,1024,15,807,4,9,0,9,0,1,3,3
289,15,24495,1024,15,841,51,10,0,10,0,1,3,3
290,15,24496,1024,15,154,210,11,0,11,0,1,4,4
291,15,24497,1024,15,832,1,12,0,12,0,1,4,4
292,15,24498,1024,15,840,211,13,0,13,0,1,4,4
293,15,24499,1024,15,817,4,14,0,14,0,1,4,4
294,15,24500,1024,15,826,5,15,0,15,0,1,4,4
295,15,24501,1024,15,9,3,16,0,16,0,1,4,4
296,15,24502,1024,15,825,210,17,0,17,0,1,4,4
297,15,24503,1024,15,8,51,0,0,18,18,0,4,4
298,15,24504,1024,15,815,211,0,0,19,19,0,4,4
299,15,24505,1024,15,847,3,0,0,20,20,0,4,4
300,16,24506,1025,71,1,131,1,0.7,1,0,1,1,1
302,16,24508,1025,71,844,6,3,0.6,2,1,1,1,1
304,16,24510,1025,71,848,9,5,0.6,3,2,1,2,1
303,16,24509,1025,71,830,9,4,0.1,4,0,1,2,2
301,16,24507,1025,71,822,131,2,0,5,3,0,1,2
305,16,24511,1025,71,832,1,6,0,6,0,1,2,2
306,16,24512,1025,71,815,211,7,0,7,0,1,3,3
307,16,24513,1025,71,846,1,8,0,8,0,1,3,3
308,16,24514,1025,71,825,210,9,0,9,0,1,3,3
309,16,24515,1025,71,807,4,10,0,10,0,1,3,3
310,16,24516,1025,71,840,211,11,0,11,0,1,4,4
311,16,24517,1025,71,826,5,12,0,12,0,1,4,4
312,16,24518,1025,71,8,51,13,0,13,0,1,4,4
313,16,24519,1025,71,842,5,14,0,14,0,1,4,4
314,16,24520,1025,71,841,51,15,0,15,0,1,4,4
315,16,24521,1025,71,9,3,0,0,16,16,0,4,4
316,16,24522,1025,71,847,3,0,0,17,17,0,4,4
317,16,24523,1025,71,20,6,0,0,18,18,0,4,4
318,16,24524,1025,71,817,4,0,0,19,19,0,4,4
319,16,24525,1025,71,154,210,0,0,20,20,0,4,4
321,17,24527,1026,22,20,6,2,0.5,1,1,1,1,1
336,17,24542,1026,22,9,3,16,0.2,2,14,0,4,1
322,17,24528,1026,22,1,131,3,0.1,3,0,1,1,1
323,17,24529,1026,22,848,9,4,0.1,4,0,1,2,2
325,17,24531,1026,22,844,6,6,0.1,5,1,1,2,2
320,17,24526,1026,22,822,131,1,0,6,5,0,1,2
324,17,24530,1026,22,832,1,5,0,7,2,1,2,3
326,17,24532,1026,22,842,5,7,0,8,1,1,3,3
327,17,24533,1026,22,815,211,8,0,9,1,1,3,3
328,17,24534,1026,22,840,211,9,0,10,1,1,3,3
329,17,24535,1026,22,826,5,10,0,11,1,1,3,4
330,17,24536,1026,22,846,1,11,0,12,1,1,4,4
331,17,24537,1026,22,8,51,12,0,13,1,1,4,4
332,17,24538,1026,22,154,210,13,0,14,1,1,4,4
333,17,24539,1026,22,841,51,14,0,15,1,1,4,4
334,17,24540,1026,22,825,210,15,0,16,1,1,4,4
335,17,24541,1026,22,847,3,16,0,17,1,1,4,4
337,17,24543,1026,22,830,9,0,0,18,18,0,4,4
338,17,24544,1026,22,817,4,0,0,19,19,0,4,4
339,17,24545,1026,22,807,4,0,0,20,20,0,4,4
343,18,24549,1027,32,844,6,4,0.5,1,3,0,2,1
341,18,24547,1027,32,20,6,2,0.2,2,0,1,1,1
340,18,24546,1027,32,1,131,1,0,3,2,1,1,1
342,18,24548,1027,32,822,131,3,0,4,1,1,1,2
344,18,24550,1027,32,848,9,5,0,5,0,1,2,2
345,18,24551,1027,32,830,9,6,0,6,0,1,2,2
346,18,24552,1027,32,815,211,7,0,7,0,1,3,3
347,18,24553,1027,32,817,4,8,0,8,0,1,3,3
348,18,24554,1027,32,842,5,9,0,9,0,1,3,3
349,18,24555,1027,32,807,4,10,0,10,0,1,3,3
350,18,24556,1027,32,826,5,11,0,11,0,1,4,4
351,18,24557,1027,32,840,211,12,0,12,0,1,4,4
352,18,24558,1027,32,832,1,13,0,13,0,1,4,4
353,18,24559,1027,32,841,51,14,0,14,0,1,4,4
354,18,24560,1027,32,825,210,15,0,15,0,1,4,4
355,18,24561,1027,32,847,3,16,0,16,0,1,4,4
356,18,24562,1027,32,154,210,17,0,17,0,1,4,4
357,18,24563,1027,32,9,3,18,0,18,0,1,4,4
358,18,24564,1027,32,8,51,0,0,19,19,0,4,4
359,18,24565,1027,32,846,1,0,0,20,20,0,4,4
361,19,24567,1028,69,1,131,2,0.4,1,1,1,1,1
362,19,24568,1028,69,830,9,3,0.1,2,1,1,1,1
363,19,24569,1028,69,844,6,4,0.1,3,1,1,2,1
379,19,24585,1028,69,20,6,0,0.1,4,4,0,4,2
360,19,24566,1028,69,822,131,1,0,5,4,0,1,2
364,19,24570,1028,69,848,9,5,0,6,1,1,2,2
365,19,24571,1028,69,817,4,6,0,7,1,1,2,3
366,19,24572,1028,69,846,1,7,0,8,1,1,3,3
367,19,24573,1028,69,832,1,8,0,9,1,1,3,3
368,19,24574,1028,69,807,4,9,0,10,1,1,3,3
369,19,24575,1028,69,815,211,10,0,11,1,1,3,4
370,19,24576,1028,69,8,51,11,0,12,1,1,4,4
371,19,24577,1028,69,826,5,12,0,13,1,1,4,4
372,19,24578,1028,69,840,211,13,0,14,1,1,4,4
373,19,24579,1028,69,841,51,14,0,15,1,1,4,4
374,19,24580,1028,69,154,210,15,0,16,1,1,4,4
375,19,24581,1028,69,842,5,16,0,17,1,1,4,4
376,19,24582,1028,69,847,3,17,0,18,1,1,4,4
377,19,24583,1028,69,825,210,18,0,19,1,1,4,4
378,19,24584,1028,69,9,3,0,0,20,20,0,4,4
380,20,24586,1029,18,830,9,1,0.3,1,0,1,1,1
396,20,24602,1029,18,20,6,17,0.3,2,15,0,4,1
386,20,24592,1029,18,1,131,7,0.2,3,4,0,3,1
388,20,24594,1029,18,815,211,9,0.1,4,5,0,3,2
399,20,24605,1029,18,822,131,0,0.1,5,5,0,4,2
381,20,24587,1029,18,842,5,2,0,6,4,0,1,2
382,20,24588,1029,18,832,1,3,0,7,4,0,1,3
383,20,24589,1029,18,8,51,4,0,8,4,0,2,3
384,20,24590,1029,18,841,51,5,0,9,4,0,2,3
385,20,24591,1029,18,817,4,6,0,10,4,0,2,3
387,20,24593,1029,18,846,1,8,0,11,3,0,3,4
389,20,24595,1029,18,826,5,10,0,12,2,1,3,4
390,20,24596,1029,18,825,210,11,0,13,2,1,4,4
391,20,24597,1029,18,847,3,12,0,14,2,1,4,4
392,20,24598,1029,18,154,210,13,0,15,2,1,4,4
393,20,24599,1029,18,848,9,14,0,16,2,1,4,4
394,20,24600,1029,18,807,4,15,0,17,2,1,4,4
395,20,24601,1029,18,9,3,16,0,18,2,1,4,4
397,20,24603,1029,18,844,6,18,0,19,1,1,4,4
398,20,24604,1029,18,840,211,19,0,20,1,1,4,4
400,21,24606,1030,24,1,131,1,0.9,1,0,1,1,1
401,21,24607,1030,24,830,9,2,0.3,2,0,1,1,1
402,21,24608,1030,24,844,6,3,0.1,3,0,1,1,1
403,21,24609,1030,24,822,131,4,0.1,4,0,1,2,2
406,21,24612,1030,24,815,211,7,0.1,5,2,1,3,2
404,21,24610,1030,24,20,6,5,0,6,1,1,2,2
405,21,24611,1030,24,848,9,6,0,7,1,1,2,3
407,21,24613,1030,24,846,1,8,0,8,0,1,3,3
408,21,24614,1030,24,826,5,9,0,9,0,1,3,3
409,21,24615,1030,24,832,1,10,0,10,0,1,3,3
410,21,24616,1030,24,817,4,11,0,11,0,1,4,4
411,21,24617,1030,24,807,4,12,0,12,0,1,4,4
412,21,24618,1030,24,8,51,13,0,13,0,1,4,4
413,21,24619,1030,24,825,210,14,0,14,0,1,4,4
414,21,24620,1030,24,154,210,15,0,15,0,1,4,4
415,21,24621,1030,24,841,51,16,0,16,0,1,4,4
416,21,24622,1030,24,847,3,17,0,17,0,1,4,4
417,21,24623,1030,24,842,5,18,0,18,0,1,4,4
418,21,24624,1030,24,9,3,19,0,19,0,1,4,4
419,21,24625,1030,24,840,211,0,0,20,20,0,4,4
